colunas,tipos,missing,qtd,unicos
Unnamed: 0,int64,0,462298,462298
id,object,0,462298,462298
fl_matriz,bool,0,462298,2
de_natureza_juridica,object,0,462298,67
sg_uf,object,0,462298,6
natureza_juridica_macro,object,0,462298,7
de_ramo,object,0,462298,33
setor,object,1927,462298,5
idade_empresa_anos,float64,0,462298,14198
idade_emp_cat,object,0,462298,6
fl_me,bool,0,462298,2
fl_sa,bool,0,462298,2
fl_epp,bool,0,462298,1
fl_mei,bool,0,462298,2
fl_ltda,bool,0,462298,2
dt_situacao,object,6,462298,7334
fl_st_especial,bool,0,462298,2
fl_email,bool,0,462298,2
fl_telefone,bool,0,462298,2
fl_rm,object,0,462298,2
nm_divisao,object,1927,462298,87
nm_segmento,object,1927,462298,21
fl_spa,object,1927,462298,2
fl_antt,object,1927,462298,2
fl_veiculo,object,1927,462298,2
vl_total_tancagem,float64,462018,462298,33
vl_total_veiculos_antt,float64,462122,462298,20
vl_total_veiculos_leves,float64,431614,462298,121
vl_total_veiculos_pesados,float64,431614,462298,103
fl_optante_simples,object,82713,462298,2
qt_art,float64,455708,462298,120
vl_total_veiculos_pesados_grupo,float64,1927,462298,296
vl_total_veiculos_leves_grupo,float64,1927,462298,310
vl_total_tancagem_grupo,float64,460538,462298,106
vl_total_veiculos_antt_grupo,float64,461962,462298,31
vl_potenc_cons_oleo_gas,float64,458615,462298,155
fl_optante_simei,object,82713,462298,2
sg_uf_matriz,object,1939,462298,27
de_saude_tributaria,object,14851,462298,6
de_saude_rescencia,object,14851,462298,5
nu_meses_rescencia,float64,45276,462298,51
de_nivel_atividade,object,11168,462298,4
de_indicador_telefone,object,418405,462298,2
fl_simples_irregular,object,1927,462298,2
vl_frota,float64,438108,462298,13833
empsetorcensitariofaixarendapopulacao,float64,143829,462298,15419
nm_meso_regiao,object,58698,462298,19
nm_micro_regiao,object,58698,462298,73
fl_passivel_iss,object,1927,462298,2
qt_socios,float64,115091,462298,62
qt_socios_pf,float64,115091,462298,64
qt_socios_pj,float64,115091,462298,12
idade_media_socios,float64,151602,462298,1010
idade_maxima_socios,float64,151602,462298,118
idade_minima_socios,float64,151602,462298,114
qt_socios_st_regular,float64,154917,462298,54
qt_socios_st_suspensa,float64,459047,462298,4
qt_socios_masculino,float64,267183,462298,41
qt_socios_feminino,float64,317269,462298,33
qt_socios_pep,float64,455555,462298,31
qt_alteracao_socio_total,float64,462298,462298,0
qt_alteracao_socio_90d,float64,462298,462298,0
qt_alteracao_socio_180d,float64,462298,462298,0
qt_alteracao_socio_365d,float64,462298,462298,0
qt_socios_pj_ativos,float64,457754,462298,11
qt_socios_pj_nulos,float64,457754,462298,2
qt_socios_pj_baixados,float64,457754,462298,3
qt_socios_pj_suspensos,float64,457754,462298,3
qt_socios_pj_inaptos,float64,457754,462298,5
vl_idade_media_socios_pj,float64,457754,462298,2192
vl_idade_maxima_socios_pj,float64,457754,462298,1944
vl_idade_minima_socios_pj,float64,457754,462298,1952
qt_coligados,float64,396907,462298,168
qt_socios_coligados,float64,396907,462298,273
qt_coligados_matriz,float64,396907,462298,169
qt_coligados_ativo,float64,396907,462298,171
qt_coligados_baixada,float64,396907,462298,6
qt_coligados_inapta,float64,396907,462298,12
qt_coligados_suspensa,float64,396907,462298,2
qt_coligados_nula,float64,396907,462298,1
idade_media_coligadas,float64,396907,462298,28060
idade_maxima_coligadas,float64,396907,462298,10760
idade_minima_coligadas,float64,396907,462298,8584
coligada_mais_nova_ativa,float64,397151,462298,8583
coligada_mais_antiga_ativa,float64,397151,462298,10749
idade_media_coligadas_ativas,float64,397151,462298,27923
coligada_mais_nova_baixada,float64,462162,462298,46
coligada_mais_antiga_baixada,float64,462162,462298,46
